No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
149	Aluminium	Door & Window Accessories	Folding Door 89D(R) Bottom Guide	1	PCS	28	28	2022-12-13	YIT LOONG BUILDING MATERIALS SDN BHD	
150	Aluminium	Door & Window Accessories	Folding Door 89DG(L) Bottom Guide	1	PCS	28	28	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
151	Aluminium	Door & Window Accessories	Folding Door 89DG(R) Bottom Guide	1	PCS	28.00	28	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
152	Aluminium	Door & Window Accessories	Folding Door 89E(L) Bottom Guide	1	PCS	28.00	28	2022-12-13	YIT LOONG BUILDING MATERIALS SDN BHD	
153	Aluminium	Door & Window Accessories	Folding Door 89E(R) Bottom Guide	1	PCS	28.00	28	2022-12-13	YIT LOONG BUILDING MATERIALS SDN BHD	
154	Aluminium	Door & Window Accessories	Folding Door 89EG(L) Bottom Guide	1	PCS	28.00	28	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
155	Aluminium	Door & Window Accessories	Folding Door 89EG(R) Bottom Guide	1	PCS	28.00	28	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
156	Aluminium	Door & Window Accessories	Folding Door Acc. ET78 Black	1	PAIR	7.8	7.8	2024-10-13	YIT LOONG BUILDING MATERIALS SDN BHD	
157	Aluminium	Door & Window Accessories	Folding Door Acc. ET78 White	1	PAIR	7.8	7.8	2024-06-14	YIT LOONG BUILDING MATERIALS SDN BHD	
158	Aluminium	Door & Window Accessories	Folding Door Acc. T28 Black	1	PCS	12.5	12.5	2022-01-14	YIT LOONG BUILDING MATERIALS SDN BHD	
159	Aluminium	Door & Window Accessories	Folding Door Acc. T28 Silver	1	PCS	12.5	12.5	2024-09-28	YIT LOONG BUILDING MATERIALS SDN BHD	
160	Aluminium	Door & Window Accessories	Folding Door Acc. T29 Black	1	PCS	12.5	12.5	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
161	Aluminium	Door & Window Accessories	Folding Door Acc. T29 Silver	1	PCS	12.5	12.5	2024-09-28	YIT LOONG BUILDING MATERIALS SDN BHD	
162	Aluminium	Door & Window Accessories	Folding Door Bearing Roller	1	PCS	18	18	2024-06-14	YIT LOONG BUILDING MATERIALS SDN BHD	
163	Aluminium	Door & Window Accessories	Folding Door Bearing Roller Cover	1	PCS	6.5	6.5	2024-06-14	YIT LOONG BUILDING MATERIALS SDN BHD	
164	Aluminium	Door & Window Accessories	Folding Door Drop Bolt CKS-FD895	1	PCS	18	18	2024-06-14	YIT LOONG BUILDING MATERIALS SDN BHD	
165	Aluminium	Door & Window Accessories	Folding Door Drop Bolt FD893 Black	1	PCS	14.5	14.5	2024-06-14	YIT LOONG BUILDING MATERIALS SDN BHD	
